Region,Soil_Type,Soil_pH,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Irrigation,Pesticides_Used_kg,Planting_Density,Previous_Crop,Yield_ton_per_ha
Region_D,Loam,5.81,420.9,31.2,88.2,143.0,Flood,40.9,9.9,Maize,93.27
Region_A,Clay,6.86,630.9,34.5,67.3,100.9,Sprinkler,10.4,24.5,Maize,77.78
Region_D,Sandy,5.58,1349.9,28.5,44.3,272.2,Rainfed,40.4,18.8,No_Previous_Crop,181.99
Region_C,Sandy,6.48,1221.3,21.0,79.0,111.0,Sprinkler,28.0,6.0,Wheat,96.19
Region_A,Loam,6.4,916.3,20.4,42.7,75.2,Flood,34.9,11.8,Maize,69.47
Region_D,Sandy,7.15,1188.8,34.4,45.2,214.7,Sprinkler,15.0,24.1,Rice,147.8
Region_D,Sandy,6.35,860.5,26.3,58.6,104.8,Flood,0.6,22.3,No_Previous_Crop,89.99
Region_D,Sandy,5.63,544.2,28.1,34.3,73.2,Rainfed,35.2,18.7,Barley,55.87
Region_B,Clay,7.09,1118.3,15.3,46.7,139.4,Sprinkler,28.4,8.5,Wheat,105.47
Region_C,Sandy,6.46,1236.8,17.1,60.8,131.8,Sprinkler,31.1,5.4,Wheat,111.09
Region_B,Loam,5.74,402.2,21.4,59.9,69.7,Sprinkler,39.5,11.0,Barley,46.73
Region_A,Clay,5.67,1106.1,34.5,51.6,148.4,Sprinkler,33.5,24.6,No_Previous_Crop,120.2
Region_A,Clay,5.9,1108.1,18.2,58.2,238.1,Rainfed,6.4,12.9,Barley,159.42
Region_B,Sandy,6.98,370.3,19.2,50.0,187.5,Sprinkler,2.7,20.1,Barley,96.4
Region_C,Clay,7.1,471.1,32.6,59.8,55.7,Sprinkler,18.5,11.6,Rice,51.19
Region_D,Clay,7.37,1109.7,26.9,61.8,157.3,Sprinkler,36.0,15.8,No_Previous_Crop,106.65
Region_A,Loam,5.83,1050.2,34.8,31.4,200.3,Rainfed,6.2,14.4,Wheat,136.8
Region_A,Sandy,5.99,1118.7,26.7,58.7,85.5,Drip,27.1,7.8,Wheat,83.92
Region_C,Sandy,5.7,650.4,22.9,60.4,249.7,Rainfed,39.7,23.5,Maize,138.32
Region_D,Clay,6.09,1040.6,34.0,69.3,268.6,Drip,13.1,17.8,Barley,171.78
Region_A,Clay,6.06,237.5,27.4,63.6,270.4,Flood,4.4,9.2,Barley,145.6
Region_A,Clay,5.69,1152.2,18.3,35.9,226.2,Rainfed,17.8,12.2,No_Previous_Crop,154.9
Region_B,Sandy,6.82,1327.2,21.0,45.8,150.0,Sprinkler,41.4,6.5,Barley,115.41
Region_D,Sandy,7.13,1324.0,19.3,68.0,163.1,Rainfed,23.9,10.0,Rice,122.41
Region_D,Loam,7.28,1384.3,27.4,80.2,174.9,Rainfed,40.8,17.8,Wheat,134.1
Region_A,Clay,7.29,860.7,30.0,71.5,287.1,Drip,29.2,5.0,Maize,180.07
Region_B,Sandy,7.23,372.0,15.2,79.7,111.6,Flood,23.1,22.2,Barley,73.52
Region_A,Sandy,6.38,1372.9,28.0,68.8,166.8,Flood,44.7,14.2,Wheat,137.93
Region_B,Sandy,6.93,1088.2,22.6,60.9,223.3,Flood,13.5,23.7,Barley,150.56
Region_A,Clay,7.44,699.1,19.3,85.7,281.6,Flood,1.7,15.0,No_Previous_Crop,161.26
Region_D,Clay,6.97,1321.5,23.9,85.6,123.9,Flood,10.7,19.0,Barley,114.57
Region_A,Clay,7.08,235.3,29.6,59.2,94.2,Rainfed,17.0,9.3,Barley,65.48
Region_B,Clay,6.13,1462.8,19.9,77.3,167.6,Flood,49.3,11.2,Wheat,128.24
Region_A,Clay,6.82,1499.4,34.8,76.4,216.2,Flood,21.9,5.3,Maize,159.51
Region_C,Loam,6.15,986.5,16.7,84.5,108.2,Flood,2.8,24.3,Wheat,91.02
Region_D,Sandy,6.64,247.9,21.3,44.1,297.0,Flood,37.0,14.5,No_Previous_Crop,159.06
Region_C,Clay,7.33,711.9,17.2,44.1,151.4,Rainfed,9.0,6.3,No_Previous_Crop,101.09
Region_A,Loam,6.65,982.9,16.1,76.9,128.6,Rainfed,31.0,18.5,Barley,99.39
Region_C,Loam,5.68,268.0,30.5,73.2,103.6,Drip,13.5,11.1,Maize,61.16
Region_A,Loam,6.53,1173.1,31.5,38.6,260.1,Sprinkler,5.6,7.1,No_Previous_Crop,169.69
Region_D,Sandy,7.29,680.0,26.6,45.0,132.0,Rainfed,10.2,13.8,Barley,94.44
Region_D,Sandy,6.21,1244.6,20.3,30.6,52.9,Sprinkler,24.0,22.6,Barley,67.4
Region_C,Clay,6.64,487.6,24.7,62.5,69.0,Flood,24.8,19.6,Maize,55.29
Region_A,Loam,7.31,859.4,29.9,87.3,122.9,Sprinkler,34.1,13.5,Maize,97.26
Region_D,Loam,6.17,1284.3,31.2,73.9,135.9,Sprinkler,20.0,21.0,Maize,114.63
Region_D,Sandy,5.57,803.4,33.4,45.7,168.0,Drip,23.1,18.3,Barley,111.58
Region_D,Loam,7.01,928.5,15.1,72.5,181.7,Flood,13.4,19.9,No_Previous_Crop,117.15
Region_B,Loam,6.95,858.6,31.3,30.5,287.0,Sprinkler,26.5,16.2,Maize,172.2
Region_D,Clay,6.96,1181.3,33.3,66.6,113.1,Drip,29.4,18.7,Rice,105.74
Region_B,Clay,6.3,725.8,17.7,66.9,63.6,Flood,18.3,18.0,Maize,56.75
Region_A,Clay,6.59,1375.4,16.9,72.1,295.6,Flood,10.4,18.8,Rice,191.96
Region_B,Clay,6.05,1280.1,21.5,34.2,154.0,Drip,37.5,24.4,Maize,111.93
Region_C,Clay,6.65,821.8,22.2,76.6,294.6,Sprinkler,30.1,10.3,Wheat,174.95
Region_D,Clay,6.73,1283.7,27.6,80.8,191.5,Drip,37.4,6.8,Rice,147.95
Region_C,Loam,7.48,472.8,16.1,45.9,131.0,Rainfed,19.6,15.1,Rice,87.46
Region_D,Loam,6.97,1444.5,22.1,50.3,137.0,Sprinkler,46.3,15.4,Rice,116.14
Region_C,Loam,6.17,1238.5,27.7,31.1,212.3,Drip,0.2,7.1,Wheat,150.67
Region_D,Loam,7.16,906.1,29.7,78.3,252.3,Sprinkler,11.6,6.0,Barley,158.96
Region_D,Loam,6.6,713.3,19.6,87.8,293.8,Flood,8.7,20.2,Rice,177.97
Region_B,Clay,7.3,1257.9,15.3,38.4,129.3,Drip,36.7,10.1,Maize,101.08
Region_B,Loam,7.44,880.8,22.0,79.3,271.1,Rainfed,26.2,10.9,Rice,156.25
Region_A,Loam,5.51,464.5,25.0,32.5,84.5,Rainfed,28.4,6.0,Maize,79.21
Region_A,Clay,6.94,1085.3,20.0,55.4,95.3,Drip,39.4,22.6,Wheat,80.33
Region_B,Sandy,6.78,952.0,26.5,75.7,224.5,Drip,38.9,8.2,No_Previous_Crop,146.6
Region_B,Loam,6.11,1214.6,15.3,45.1,215.5,Rainfed,8.8,10.9,Wheat,137.2
Region_D,Loam,5.93,902.0,21.3,75.7,111.1,Sprinkler,40.3,6.5,Maize,80.11
Region_C,Loam,6.32,560.8,30.3,35.9,135.5,Flood,15.4,19.6,Maize,102.07
Region_B,Clay,5.8,952.1,21.9,34.4,62.8,Flood,27.1,13.6,Wheat,71.06
Region_C,Loam,6.57,368.1,31.0,32.4,139.4,Flood,21.2,11.2,No_Previous_Crop,92.19
Region_B,Loam,6.63,729.1,18.3,41.3,85.4,Flood,8.6,15.3,Barley,69.21
Region_B,Clay,6.34,1116.6,32.6,30.9,252.5,Sprinkler,22.7,21.5,Wheat,167.86
Region_D,Sandy,7.17,1147.3,17.1,78.4,180.1,Rainfed,22.4,16.6,No_Previous_Crop,138.89
Region_D,Loam,6.57,849.4,24.0,76.6,121.7,Rainfed,32.6,24.5,Barley,87.5
Region_B,Loam,7.35,1011.8,28.4,58.7,136.5,Sprinkler,3.9,8.6,Rice,97.5
Region_A,Clay,6.69,379.4,32.5,55.7,210.1,Rainfed,15.2,24.4,Wheat,120.29
Region_B,Loam,6.55,1244.9,25.3,82.2,279.2,Rainfed,15.9,21.1,Rice,182.02
Region_B,Clay,5.68,1496.5,32.2,75.9,285.0,Flood,23.7,6.3,No_Previous_Crop,193.39
Region_C,Clay,6.72,762.5,25.2,30.1,102.3,Rainfed,14.4,24.4,Rice,79.95
Region_C,Sandy,7.04,619.8,31.0,76.6,149.4,Rainfed,8.5,7.2,Maize,99.19
Region_A,Loam,6.71,986.3,21.1,82.2,135.3,Drip,17.3,17.7,Wheat,104.15
Region_A,Sandy,7.06,380.0,26.9,80.9,182.7,Drip,31.8,11.8,Rice,106.56
Region_C,Loam,7.44,252.6,26.7,89.2,241.9,Flood,6.7,17.8,Barley,136.02
Region_B,Clay,7.3,673.5,19.0,53.5,66.5,Sprinkler,16.0,16.4,Barley,52.39
Region_D,Clay,5.85,423.0,20.0,35.0,266.1,Sprinkler,36.3,19.8,Barley,143.26
Region_A,Loam,6.08,971.5,28.2,31.2,128.6,Rainfed,27.8,19.4,Maize,96.61
Region_C,Sandy,6.32,280.6,22.0,84.9,79.2,Rainfed,2.7,17.4,Barley,56.86
Region_A,Clay,5.74,1397.1,26.6,65.9,66.9,Drip,34.5,20.6,Barley,85.5
Region_C,Clay,5.94,304.7,26.9,85.5,167.3,Flood,4.6,10.1,Rice,102.37
Region_A,Clay,6.28,1254.6,22.1,53.1,224.7,Sprinkler,41.3,21.8,No_Previous_Crop,155.66
Region_C,Sandy,6.94,1341.0,32.1,47.3,226.7,Rainfed,3.7,15.9,Maize,163.81
Region_D,Clay,6.59,303.7,16.7,81.2,78.6,Flood,36.0,9.8,Rice,52.04
Region_A,Sandy,7.14,1110.0,17.1,79.1,251.8,Drip,39.4,9.6,Maize,167.38
Region_A,Sandy,6.67,1103.5,33.2,31.8,110.8,Drip,12.0,11.7,Barley,90.36
Region_A,Clay,7.05,371.9,21.3,73.1,216.4,Drip,47.9,9.2,Maize,126.55
Region_C,Clay,6.5,1395.7,29.9,68.6,109.8,Drip,25.0,18.3,No_Previous_Crop,95.99
Region_A,Loam,6.72,1062.9,17.7,87.4,191.8,Sprinkler,23.4,17.4,Barley,128.66
Region_D,Clay,5.51,384.8,30.8,63.8,168.5,Rainfed,34.9,18.3,Rice,102.31
Region_D,Clay,6.04,1470.4,29.2,60.4,155.1,Drip,22.3,23.7,No_Previous_Crop,131.3
Region_C,Sandy,7.08,833.2,19.2,34.5,230.9,Flood,36.2,11.9,Barley,149.77
Region_B,Sandy,6.77,532.3,32.2,85.1,177.0,Rainfed,14.7,23.1,No_Previous_Crop,112.15
Region_C,Clay,6.06,1074.5,24.5,87.0,82.4,Sprinkler,45.3,24.3,Maize,72.42
Region_C,Sandy,6.78,1040.1,30.3,71.7,259.3,Flood,1.9,23.5,Wheat,170.88
Region_D,Sandy,5.91,567.4,32.9,55.3,56.9,Flood,28.9,17.3,Wheat,58.45
Region_A,Loam,6.22,297.3,20.9,68.9,180.0,Drip,37.0,12.9,Rice,92.56
Region_A,Loam,7.01,1053.4,21.1,70.0,248.1,Flood,31.3,19.3,Rice,161.5
Region_B,Sandy,6.74,1095.6,20.9,78.8,87.5,Rainfed,46.6,7.9,No_Previous_Crop,83.67
Region_A,Clay,6.45,1007.6,33.9,65.1,69.0,Drip,31.7,20.6,Maize,73.01
Region_A,Loam,7.01,759.9,26.1,55.0,180.8,Flood,5.3,22.2,Wheat,108.62
Region_B,Clay,7.46,703.2,25.1,52.8,170.3,Rainfed,29.0,19.1,Barley,106.31
Region_A,Clay,6.91,1380.1,21.8,62.9,272.4,Drip,8.2,24.6,Maize,178.66
Region_D,Clay,7.05,848.3,15.6,37.9,237.9,Sprinkler,19.4,15.7,Wheat,142.62
Region_C,Sandy,6.08,926.3,34.1,62.2,201.6,Drip,11.5,8.1,Barley,129.29
Region_D,Clay,6.48,531.7,30.9,31.2,192.4,Flood,44.6,13.5,Maize,121.73
Region_D,Loam,6.29,877.1,30.9,76.7,235.6,Drip,30.0,21.1,Wheat,153.41
Region_A,Sandy,6.76,1455.0,22.3,69.9,73.8,Flood,47.6,19.5,No_Previous_Crop,78.89
Region_C,Clay,5.55,316.3,33.4,74.8,175.5,Flood,13.8,6.9,Maize,105.7
Region_C,Sandy,7.37,1331.6,25.5,87.5,262.8,Flood,43.1,19.9,Maize,183.26
Region_A,Loam,6.89,875.2,18.9,67.4,251.9,Drip,22.6,8.9,Barley,153.53
Region_B,Loam,5.78,1373.1,31.0,42.2,209.0,Sprinkler,15.8,16.4,Barley,153.73
Region_B,Sandy,6.35,455.8,16.5,59.0,124.1,Drip,16.3,22.0,Maize,76.72
Region_C,Clay,6.56,1225.5,31.9,83.7,280.8,Drip,7.6,16.8,Wheat,181.11
Region_A,Loam,6.28,866.5,21.9,35.0,299.0,Sprinkler,48.7,16.4,Barley,183.51
Region_A,Sandy,6.28,1324.0,33.3,82.9,206.8,Flood,35.7,14.1,Wheat,155.54
Region_D,Clay,7.06,1295.6,33.6,66.1,224.8,Drip,40.8,10.7,Barley,164.5
Region_C,Sandy,6.15,1471.7,34.1,62.3,260.0,Drip,45.0,21.6,No_Previous_Crop,181.16
Region_B,Sandy,7.28,451.2,24.9,35.0,54.7,Rainfed,41.0,20.9,No_Previous_Crop,47.14
Region_B,Loam,6.68,344.5,28.2,43.8,199.6,Rainfed,37.0,9.6,Rice,121.89
Region_D,Sandy,5.8,1013.8,29.9,62.0,218.1,Drip,41.9,10.7,Rice,141.22
Region_B,Sandy,6.41,955.0,17.7,74.0,186.8,Drip,30.1,18.4,Barley,123.87
Region_D,Loam,7.2,887.5,15.6,36.7,166.9,Rainfed,25.4,9.1,No_Previous_Crop,121.65
Region_A,Sandy,7.34,506.2,34.3,46.9,264.8,Drip,43.6,5.0,Wheat,151.98
Region_D,Loam,6.46,735.3,20.5,81.7,93.8,Sprinkler,30.9,14.2,No_Previous_Crop,71.98
Region_B,Clay,5.98,1463.6,25.1,33.0,101.6,Sprinkler,37.4,14.4,Rice,100.98
Region_D,Sandy,5.65,627.3,25.8,67.2,235.7,Drip,1.7,21.8,No_Previous_Crop,142.89
Region_B,Loam,5.85,899.0,16.0,89.2,155.8,Flood,39.8,16.1,Maize,99.14
Region_B,Loam,5.78,690.9,27.8,45.8,192.3,Sprinkler,25.2,18.2,Maize,120.94
Region_A,Loam,6.59,1400.0,29.9,73.3,189.5,Rainfed,3.9,23.7,Maize,141.25
Region_D,Sandy,6.84,263.4,23.6,54.5,259.1,Drip,15.7,17.3,Barley,153.17
Region_B,Loam,6.98,544.0,17.6,85.1,280.4,Flood,45.2,15.1,Maize,153.68
Region_A,Sandy,6.58,1361.9,27.6,56.2,194.4,Sprinkler,46.7,11.4,Barley,145.08
Region_C,Sandy,6.46,734.9,28.6,68.9,290.9,Drip,12.7,19.3,Rice,171.54
Region_B,Loam,7.27,763.9,16.3,69.2,234.7,Sprinkler,16.2,12.4,Rice,138.17
Region_C,Clay,7.29,393.4,16.7,59.9,121.1,Rainfed,11.5,11.4,Barley,72.49
Region_C,Sandy,6.62,823.5,25.5,71.6,209.5,Rainfed,24.8,15.6,Rice,135.04
Region_D,Clay,6.32,1132.1,26.7,49.5,129.2,Sprinkler,42.1,21.0,Maize,95.41
Region_A,Loam,5.72,505.8,29.0,89.8,122.3,Drip,20.5,12.5,No_Previous_Crop,80.87
Region_D,Clay,6.88,768.4,23.3,81.9,219.8,Drip,23.0,6.0,Maize,140.38
Region_B,Sandy,7.42,1097.9,27.3,33.8,157.9,Flood,49.9,24.1,No_Previous_Crop,131.0
Region_D,Loam,5.68,1301.4,26.6,76.7,265.4,Drip,0.0,11.7,Wheat,185.76
Region_B,Sandy,6.96,695.4,32.4,86.7,262.2,Rainfed,27.6,18.9,Rice,156.51
Region_D,Sandy,7.3,1009.0,26.9,49.4,191.3,Rainfed,17.0,17.8,Wheat,140.41
Region_B,Sandy,7.07,746.1,29.0,60.0,118.1,Flood,18.2,15.4,Wheat,84.43
Region_C,Clay,7.35,880.5,31.8,87.2,288.3,Rainfed,31.5,9.4,Rice,164.34
Region_D,Sandy,6.24,1225.5,32.9,39.1,109.3,Rainfed,41.1,16.2,Maize,98.4
Region_A,Loam,6.96,1413.2,28.7,78.8,184.1,Rainfed,2.9,9.5,Barley,137.16
Region_D,Loam,6.03,1099.8,23.2,43.8,132.2,Sprinkler,43.5,17.0,Maize,98.25
Region_D,Sandy,6.04,1493.0,25.6,84.2,107.5,Drip,14.9,20.2,Barley,103.53
Region_A,Clay,6.28,321.6,31.6,50.9,222.3,Flood,44.0,22.9,Barley,126.52
Region_D,Loam,5.59,1129.8,25.4,45.3,270.0,Sprinkler,16.6,17.4,Rice,175.73
Region_C,Clay,6.93,592.3,24.5,50.3,175.2,Sprinkler,44.8,9.4,No_Previous_Crop,111.61
Region_C,Loam,6.24,477.0,28.0,32.7,165.9,Rainfed,7.3,21.3,Maize,100.86
Region_C,Loam,5.72,567.9,29.2,80.4,235.2,Rainfed,45.2,10.5,Rice,140.53
Region_D,Sandy,7.48,573.6,31.7,46.0,116.8,Flood,35.8,14.0,No_Previous_Crop,83.44
Region_B,Clay,6.47,940.4,24.0,45.6,94.0,Flood,8.0,10.7,Wheat,87.09
Region_C,Loam,7.25,559.3,26.1,66.8,185.1,Drip,38.4,5.8,Rice,117.2
Region_A,Clay,6.49,365.9,29.7,83.4,195.6,Flood,16.8,5.9,No_Previous_Crop,112.64
Region_A,Loam,6.78,689.5,19.2,77.1,84.3,Rainfed,21.1,5.9,Rice,71.14
Region_D,Sandy,7.33,955.7,19.5,43.0,51.7,Drip,1.0,25.0,Rice,58.21
Region_C,Sandy,6.4,1116.2,31.1,47.3,129.3,Sprinkler,12.0,18.7,Wheat,109.42
Region_D,Loam,5.73,1039.4,26.0,66.0,231.0,Rainfed,40.3,11.7,Rice,151.2
Region_D,Loam,5.67,738.7,26.3,47.4,193.4,Drip,22.7,18.6,Wheat,131.34
Region_C,Loam,6.51,468.4,33.6,49.8,128.9,Flood,20.2,24.3,Rice,81.79
Region_C,Loam,7.21,578.4,26.7,54.8,180.7,Flood,13.4,9.4,No_Previous_Crop,113.05
Region_B,Loam,6.06,1141.0,31.7,83.5,238.6,Rainfed,33.8,22.8,Wheat,155.42
Region_C,Clay,7.09,1029.6,34.1,57.1,177.0,Flood,28.6,15.1,No_Previous_Crop,124.96
Region_A,Sandy,7.25,1061.1,34.6,50.6,145.1,Flood,42.4,11.9,Wheat,109.93
Region_A,Sandy,6.26,1264.8,30.5,70.5,242.5,Flood,18.4,7.5,Maize,158.53
Region_A,Sandy,7.44,831.2,25.6,62.9,158.3,Rainfed,14.0,11.8,Barley,100.25
Region_B,Sandy,6.97,443.2,28.0,84.5,96.0,Drip,6.1,21.4,Rice,69.25
Region_B,Clay,7.23,387.3,25.5,55.8,198.6,Flood,19.0,13.8,Wheat,112.54
Region_B,Loam,6.57,653.7,15.2,35.9,257.0,Rainfed,30.9,19.8,Wheat,142.87
Region_C,Clay,6.15,235.7,19.2,70.0,57.5,Flood,5.8,6.5,Maize,49.31
Region_B,Loam,5.87,724.9,19.2,85.6,71.1,Sprinkler,41.1,21.1,Wheat,63.86
Region_D,Clay,7.36,288.8,32.8,89.8,243.3,Flood,34.6,19.5,Rice,141.89
Region_C,Loam,5.79,250.9,18.4,70.3,137.1,Sprinkler,11.6,15.9,Wheat,90.03
Region_B,Sandy,6.46,411.9,24.4,30.7,82.3,Drip,44.2,13.8,Barley,53.44
Region_C,Sandy,6.32,1379.3,26.2,60.6,79.6,Rainfed,37.1,7.8,Barley,87.3
Region_B,Loam,6.09,376.3,15.6,61.1,116.8,Rainfed,24.3,15.3,Wheat,79.28
Region_A,Clay,6.33,1407.9,26.0,61.2,53.4,Flood,35.7,10.8,Barley,74.86
Region_C,Clay,5.83,839.0,24.2,37.3,173.5,Sprinkler,5.6,10.8,No_Previous_Crop,107.58
Region_A,Clay,6.78,1034.4,17.8,79.8,128.3,Flood,8.2,15.1,Wheat,95.05
Region_D,Loam,7.13,282.6,24.8,80.1,221.4,Drip,7.4,11.0,Barley,124.71
Region_C,Loam,5.87,1275.8,21.3,65.7,79.0,Sprinkler,1.5,15.8,Barley,81.14
Region_A,Sandy,7.44,855.1,22.2,83.1,229.2,Flood,28.9,12.5,No_Previous_Crop,144.01
Region_D,Clay,6.93,699.8,33.3,77.4,262.1,Rainfed,44.6,20.1,Barley,152.35
Region_A,Clay,7.17,409.6,22.2,65.0,230.5,Sprinkler,20.1,20.0,Rice,141.3
Region_C,Clay,6.63,752.6,29.1,84.5,91.8,Sprinkler,12.6,9.4,Barley,68.29
Region_D,Clay,6.36,1254.8,24.7,89.3,232.8,Flood,19.1,11.0,Maize,155.78
Region_B,Clay,5.54,1394.6,17.7,59.7,238.4,Drip,20.5,23.1,Wheat,160.08
Region_C,Sandy,6.95,327.7,32.3,77.7,242.1,Drip,36.1,8.0,Wheat,141.5
